name,mass,mass_error_min,mass_error_max,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
Kepler-1655 b,0.01573,0.00881,0.00975,0.0,0.0,0.197,0.007
Kepler-1656 b,0.1504,0.0104,0.0195,0.0,0.0,0.448,0.047
Kepler-1656 c,0.3977,0.091,0.091,0.0,0.0,0.67535,0.0
Kepler-1657 b,1.93,0.21,0.19,0.0,0.0,0.99,0.07
Kepler-1658 b,5.88,0.0,0.0,0.0,0.0,1.07,0.05
Kepler-1659 b,0.02832,0.00094,0.00094,0.0,0.0,0.17,0.018
Kepler-1659 c,0.01447,0.00094,0.00094,0.0,0.0,0.17,0.027
Kepler-1660 (AB)b,4.89,0.23,0.23,0.0,0.0,0.67535,0.0
Kepler-1661 (AB)b,0.053,0.038,0.038,0.0,0.0,0.67535,0.0
Kepler-1662 b,0.2234,0.0289,0.0352,0.0,0.0,0.7904,0.0214
Kepler-1662 c,0.0472,0.0113,0.0135,0.0,0.0,0.4853,0.027
Kepler-167 Ae,4.0,3.7,46.0,0.0,0.0,0.9064,0.0375
Kepler-16 (AB)b,0.333,0.016,0.016,0.0,0.0,0.7538,0.0023
Kepler-1704 b,4.16,0.29,0.28,0.29,0.28,1.066,0.042
Kepler-1705 b,0.01406,0.00135,0.00151,0.0,0.0,0.1811,0.0125
Kepler-1705 c,0.01705,0.00179,0.00192,0.0,0.0,0.1829,0.0134
Kepler-1706 b,2.0,0.4,0.4,0.4,0.4,0.67535,0.0
Kepler-1707 b,0.5,0.1,0.4,0.1,0.4,0.67535,0.0
Kepler-1708 b,4.6,4.6,0.0,0.0,0.0,0.8886,0.054
Kepler-1710 b,0.010997,0.018145,0.018145,0.018145,0.018145,0.2308,0.0062
Kepler-177 b,0.01837,0.00258,0.00271,0.0,0.0,0.312,0.013
Kepler-177 c,0.04625,0.00787,0.0085,0.0,0.0,0.779,0.03
Kepler-17 b,2.45,0.014,0.014,0.0,0.0,1.31,0.02
Kepler-1876 b,0.0076,0.0076,0.0,0.0,0.0,0.0761,0.00232
Kepler-18 b,0.022,0.011,0.011,0.0,0.0,0.178,0.009
Kepler-18 c,0.054,0.006,0.006,0.0,0.0,0.49,0.023
Kepler-18 d,0.052,0.004,0.004,0.0,0.0,0.623,0.029
Kepler-1970 b,2.1,0.4,0.4,0.4,0.4,0.67535,0.0
Kepler-1971 b,0.00107,0.00104,0.0,0.0,0.0,0.0455,0.0027
Kepler-1972 b,0.00636,0.00195,0.00176,0.0,0.0,0.07155,0.00366
Kepler-1972 c,0.00664,0.00205,0.00186,0.0,0.0,0.07744,0.0045
Kepler-1973 Ab,0.0544,0.009,0.009,0.0,0.0,0.384,0.0045
Kepler-1973 Ac,0.6601,0.126,0.126,0.0,0.0,0.67535,0.0
Kepler-197 Ac,0.017,0.0091,0.01,0.0,0.0,0.11669,0.00366
Kepler-19 b,0.02643,0.00472,0.00503,0.0,0.0,0.198,0.004
Kepler-19 c,0.04122,0.0085,0.0085,0.0,0.0,0.67535,0.0
Kepler-19 d,0.07079,0.01762,0.00378,0.018,0.0038,0.67535,0.0
Kepler-20 Ab,0.029963,0.004597,0.00465,0.004587,0.004587,0.17905,0.01633
Kepler-20 Ac,0.0349,0.0066,0.0066,0.0,0.0,0.2569,0.01195
Kepler-20 Ad,0.040733,0.013252,0.013252,0.0,0.0,0.22232,0.00616
Kepler-20 Ae,0.0097,0.009699,0.0,0.0,0.0,0.06994,0.00937
Kepler-20 Af,0.045,0.0,0.0,0.0,0.0,0.08404,0.00366
Kepler-20 Ag,0.06598,0.0106,0.0106,0.0106,0.0106,0.67535,0.0
Kepler-21 Ab,0.02102,0.0044,0.0044,0.0,0.0,0.1472,0.0018
Kepler-223 b,0.02328,0.00346,0.00409,0.0,0.0,0.267,0.024
Kepler-223 c,0.01605,0.00346,0.00535,0.0,0.0,0.307,0.027
Kepler-223 d,0.02517,0.00409,0.00472,0.0,0.0,0.467,0.04
Kepler-223 e,0.0151,0.00378,0.0044,0.0,0.0,0.41,0.037
Kepler-22 b,0.0286,0.0,0.0,0.0,0.0,0.187,0.0107
Kepler-238 e,0.534,0.217,0.226,0.0,0.0,0.5,0.041
Kepler-238 f,0.042,0.008,0.009,0.0,0.0,0.178,0.015
Kepler-23 b,0.8,0.75,0.0,0.0,0.0,0.17,0.0
Kepler-23 c,2.7,2.6,0.0,0.0,0.0,0.285,0.0
Kepler-23 d,0.055,0.037,0.043,0.0,0.0,0.196,0.008
Kepler-24 b,1.6,1.599,0.0,0.0,0.0,0.214,0.0
Kepler-24 c,1.6,1.599,0.0,0.0,0.0,0.25,0.0
Kepler-25 Ab,0.034013,0.009736,0.009737,0.00972,0.00972,0.24124,0.00526
Kepler-25 Ac,0.075805,0.012697,0.012698,0.01268,0.01268,0.4128,0.0091
Kepler-25 Ad,0.2161854,0.02681,0.02681,0.02681,0.02681,0.67535,0.0
Kepler-26 b,0.01611,0.00192,0.00205,0.0,0.0,0.248,0.01
Kepler-26 c,0.01951,0.00205,0.00205,0.0,0.0,0.243,0.011
Kepler-276 c,0.052,0.011,0.014,0.0,0.0,0.259,0.0143
Kepler-276 d,0.051,0.014,0.016,0.0,0.0,0.25,0.0134
Kepler-277 b,0.275,0.126,0.131,0.0,0.0,0.261,0.0349
Kepler-277 c,0.202,0.049,0.057,0.0,0.0,0.3,0.04
Kepler-278 b,0.176,0.041,0.116,0.0,0.0,0.363,0.014
Kepler-278 c,0.1098,0.066,0.0311,0.0,0.0,0.32,0.038
Kepler-279 c,0.155,0.019,0.023,0.0,0.0,0.384,0.037
Kepler-279 d,0.118,0.014,0.017,0.0,0.0,0.277,0.114
Kepler-279 e,0.176,0.019,0.019,0.0,0.0,0.67535,0.0
Kepler-27 Ab,0.132,0.019,0.019,0.0,0.0,0.357,0.0
Kepler-27 Ac,0.067,0.012,0.012,0.0,0.0,0.437,0.0
Kepler-27 d,0.025,0.025,0.0,0.0,0.0,0.45,0.09
Kepler-282 d,0.192,0.114,0.113,0.0,0.0,0.219,0.018
Kepler-282 e,0.177,0.053,0.051,0.0,0.0,0.277,0.0143
Kepler-289 b,0.023,0.021,0.021,0.021,0.021,0.192,0.009
Kepler-289 c,0.42,0.05,0.05,0.003,0.003,1.034,0.017
Kepler-289 d,0.013,0.003,0.003,0.053,0.053,0.239,0.015
Kepler-289 e,0.0547,0.0041,0.0041,0.0,0.0,0.67535,0.0
Kepler-28 b,1.51,1.5099,0.0,0.0,0.0,0.321,0.0
Kepler-28 c,1.36,1.3599,0.0,0.0,0.0,0.303,0.0
Kepler-29 b,0.01573,0.00409,0.00472,0.0,0.0,0.227,0.011
Kepler-29 c,0.01416,0.00346,0.00346,0.0,0.0,0.209,0.01
Kepler-305 b,0.033,0.006,0.008,0.0,0.0,0.321,0.032
Kepler-305 c,0.019,0.007,0.008,0.0,0.0,0.294,0.029
Kepler-307 b,0.02341,0.00274,0.00286,0.0,0.0,0.217,0.008
Kepler-307 c,0.01145,0.00182,0.00205,0.0,0.0,0.196,0.006
Kepler-30 b,0.036,0.004,0.004,0.0,0.0,0.348,0.018
Kepler-30 c,2.01,0.16,0.16,0.0,0.0,1.097,0.036
Kepler-30 d,0.073,0.008,0.008,0.0,0.0,0.785,0.045
Kepler-31 c,4.7,4.699,0.0,0.0,0.0,0.473,0.098
Kepler-31 d,6.8,6.7999,0.0,0.0,0.0,0.348,0.071
